G22,G96
G22,G51
G21,G1
G6,G96
G6,G15
G6,G35
G4,G13
G4,G10
G4,G22
G4,G36
G2,G100
G2,G32
G2,G40
G2,G77
G2,G4
G2,G73
G2,G14
G56,G15
G56,G14
G56,G24
G56,G28
G54,G21
G40,G69
G48,G97
G77,G34
G73,G97
G73,G10
G79,G48
G79,G62
G79,G77
G79,G2
G69,G73
G62,G31
G62,G16
G62,G51
G62,G87
G62,G36
G64,G100
G64,G33
G64,G54
G100,G40
G16,G27
G16,G80
G16,G89
G15,G1
G14,G27
G13,G34
G13,G65
G96,G32
G96,G13
G31,G16
G31,G33
G31,G65
G33,G54
G32,G35
G35,G28
G34,G87
G36,G31
G36,G24
G36,G22
G36,G89
G87,G64
G87,G21
G80,G6
G80,G69
G89,G48
G89,G6
G89,G80
