G24,G96
G24,G58
G24,G91
G25,G33
G22,G14
G20,G62
G20,G53
G20,G30
G29,G31
G29,G32
G29,G28
G29,G21
G7,G97
G7,G84
G4,G84
G4,G29
G4,G2
G4,G19
G4,G8
G3,G16
G3,G54
G3,G71
G3,G1
G3,G83
G2,G9
G1,G5
G1,G4
G1,G95
G53,G51
G51,G26
G51,G39
G51,G74
G50,G41
G57,G52
G57,G18
G57,G21
G56,G87
G56,G67
G56,G76
G55,G80
G55,G59
G55,G57
G55,G60
G58,G34
G40,G53
G40,G27
G40,G51
G40,G1
G41,G25
G42,G44
G43,G7
G43,G47
G43,G70
G43,G46
G43,G90
G43,G45
G44,G73
G45,G100
G45,G30
G45,G23
G45,G97
G45,G68
G45,G50
G45,G90
G45,G17
G45,G49
G46,G63
G46,G20
G47,G66
G48,G6
G49,G26
G49,G85
G75,G85
G76,G16
G71,G89
G71,G8
G73,G74
G73,G64
G73,G18
G72,G52
G78,G81
G78,G82
G68,G11
G63,G2
G63,G20
G60,G38
G60,G43
G60,G81
G61,G54
G66,G62
G66,G34
G66,G92
G67,G88
G64,G6
G65,G55
G100,G35
G100,G37
G19,G59
G19,G76
G19,G82
G18,G40
G18,G99
G17,G37
G17,G98
G15,G39
G15,G22
G14,G24
G14,G32
G14,G72
G13,G40
G13,G19
G12,G80
G12,G86
G12,G66
G12,G41
G97,G71
G97,G98
G97,G68
G97,G94
G97,G44
G97,G47
G97,G57
G97,G61
G97,G22
G97,G10
G96,G5
G96,G3
G96,G36
G96,G70
G96,G83
G96,G58
G95,G10
G94,G75
G94,G49
G94,G13
G94,G78
G94,G63
G92,G75
G92,G96
G92,G15
G92,G61
G92,G72
G90,G17
G90,G91
G99,G33
G99,G14
G99,G93
G99,G92
G98,G48
G98,G42
G98,G35
G31,G69
G31,G23
G33,G28
G33,G87
G33,G94
G33,G13
G33,G67
G33,G11
G32,G31
G32,G64
G34,G50
G34,G29
G37,G7
G37,G3
G37,G36
G36,G56
G38,G24
G38,G4
G38,G9
G38,G42
G38,G43
G38,G45
G38,G73
G38,G48
G38,G15
G38,G79
G84,G69
G85,G93
G85,G89
G86,G100
G86,G27
G86,G38
G86,G56
G86,G55
G86,G60
G87,G88
G80,G79
G80,G78
G80,G99
G82,G95
G82,G46
G83,G25
